DAY_MT	ET_mm/day
7/8/17	3.625849527
7/9/17	3.664263536
7/10/17	4.361956708
7/11/17	2.370119797
7/12/17	1.820535779
7/13/17	2.049652988
7/14/17	1.946611698
7/15/17	3.860039988
7/16/17	3.251891862
7/17/17	3.019897799
7/18/17	3.204098058
7/19/17	2.098570322
7/20/17	3.13728222
7/21/17	3.369249695
7/22/17	2.428681115
7/23/17	3.155469525
7/24/17	3.547200625
7/25/17	2.199408648
7/26/17	2.860961256
7/27/17	4.495267407
7/28/17	1.956887336
7/29/17	1.464003908
7/30/17	3.599285623
7/31/17	3.31307085
8/1/17	3.162428999
8/2/17	3.922606638
8/3/17	2.554174496
8/4/17	3.836524092
8/5/17	3.876616802
8/6/17	3.597995287
8/7/17	2.164921717
8/8/17	2.739823724
8/9/17	3.831200275
8/10/17	3.922691729
8/11/17	2.711533846
8/12/17	3.321316149
8/13/17	3.601787683
8/14/17	2.540221667
8/15/17	2.848359679
8/16/17	3.541544685
8/17/17	3.306940292
8/18/17	3.68679093
8/19/17	3.686321122
8/20/17	3.170767102
8/21/17	2.629806419
8/22/17	2.302615444
8/23/17	3.07445121
8/24/17	1.960616291
8/25/17	2.314462436
8/26/17	3.42016108
8/27/17	3.233737424
8/28/17	3.464326382
8/29/17	2.614055025
8/30/17	2.380552366
8/31/17	2.948120516
9/1/17	2.692682531
9/2/17	2.735930842
9/3/17	2.727776284
9/4/17	2.63163788
9/5/17	2.615879613
9/6/17	2.531240961
9/7/17	2.259734138
9/8/17	
9/9/17	
9/10/17	
9/11/17	
9/12/17	
9/13/17	
9/14/17	
9/15/17	
9/16/17	
9/17/17	
9/18/17	
9/19/17	
9/20/17	
9/21/17	
9/22/17	0.966402093
9/23/17	0.61062921
9/24/17	1.524399569
9/25/17	0.940490566
9/26/17	0.749860031
9/27/17	0.51570598
9/28/17	0.858273502
9/29/17	0.94591534
9/30/17	0.552025626
10/1/17	0.788116231
10/2/17	0.635224005
10/3/17	1.057398074
10/4/17	0.855781951
10/5/17	0.845460263
10/6/17	0.908342691
10/7/17	0.624021065
10/8/17	0.780839669
10/9/17	0.444212583
10/10/17	0.385727008
10/11/17	0.607984009
10/12/17	0.774956064
10/13/17	0.712612631
10/14/17	0.829657539
10/15/17	0.489761578
10/16/17	0.310022713
10/17/17	0.414260229
10/18/17	0.337821813
10/19/17	0.345712475
10/20/17	0.501992146
10/21/17	0.958892635
10/22/17	0.714107249
10/23/17	0.857258317
10/24/17	0.595974376
10/25/17	0.426658655
10/26/17	0.636674083
10/27/17	0.522197109
10/28/17	0.518927032
10/29/17	0.215342669
10/30/17	0.299340832
10/31/17	0.827735066
11/1/17	0.980160563
11/2/17	0.541930154
11/3/17	0.785638915
11/4/17	0.465131123
11/5/17	0.710279525
11/6/17	0.336650519
11/7/17	0.563835619
11/8/17	0.3155125
11/9/17	0.514853043
11/10/17	0.374465782
11/11/17	0.453101955
11/12/17	0.283548313
11/13/17	0.372370914
11/14/17	0.411109546
11/15/17	0.303061294
11/16/17	0.327626512
11/17/17	0.752381025
11/18/17	0.491053473
11/19/17	0.289917814
11/20/17	0.302281531
11/21/17	0.605983189
11/22/17	0.105132207
11/23/17	0.190650312
11/24/17	0.278272685
11/25/17	0.506523829
11/26/17	0.32213573
11/27/17	0.647110846
11/28/17	0.262395829
11/29/17	0.35483349
11/30/17	0.341161134
12/1/17	0.213240938
12/2/17	0.263014641
12/3/17	0.500793558
12/4/17	0.835045703
12/5/17	0.229060481
12/6/17	0.484522312
12/7/17	0.497204315
12/8/17	1.042096272
12/9/17	0.181658216
12/10/17	0.208555183
12/11/17	0.264869659
12/12/17	0.188966557
12/13/17	0.231073502
12/14/17	0.423691874
12/15/17	0.127118032
12/16/17	0.143562769
12/17/17	0.202657751
12/18/17	0.152586044
12/19/17	0.127863697
12/20/17	0.253753328
12/21/17	0.228038486
12/22/17	0.109207553
12/23/17	0.522219613
12/24/17	0.144962368
12/25/17	0.269805304
12/26/17	0.068217032
12/27/17	0.16297954
12/28/17	0.247052696
12/29/17	0.186560531
12/30/17	
12/31/17	
1/1/18	
1/2/18	
1/3/18	
1/4/18	
1/5/18	
1/6/18	
1/7/18	
1/8/18	
1/9/18	
1/10/18	
1/11/18	
1/12/18	
1/13/18	
1/14/18	
1/15/18	
1/16/18	
1/17/18	
1/18/18	
1/19/18	
